geo,ds,cpi_index,spx_close,spx_ret_1m,cpi_mom,cpi_yoy
Ireland,2009-01-01,100.930678,825.8800048828125,-0.08565734305805428,89.92935792214344,-0.044781032547005606
Ireland,2009-02-01,-1.701702,735.0900268554688,-0.10993119762019943,-1.016860106696202,-1.3525482285285495
Ireland,2009-03-01,-2.678571,683.3800048828125,-0.07034515512862938,0.5740540940775762,-1.5357142
Ireland,2009-04-01,-3.468781,,0.0,0.29501178053521837,-1.798645509321189
Ireland,2009-05-01,-4.625984,,0.0,0.333605090664415,-1.9981844459625608
Ireland,2009-06-01,-5.386876,,0.0,0.16448219449094514,-2.0919647222611872
Ireland,2009-07-01,-5.888126,,0.0,0.09305022057311141,-2.336467579324962
Ireland,2009-08-01,-5.962854,,0.0,0.012691304499937717,-2.358976059511071
Ireland,2009-09-01,-6.530214,,0.0,0.09514906787924038,-2.49283735875661
Ireland,2009-10-01,-6.542969,,0.0,0.00195322848531454,-2.6525190363871616
Ireland,2009-11-01,-5.714286,1095.6300048828125,0.6032514809541341,-0.12665244172790668,-3.262856830582916
Ireland,2009-12-01,-4.99002,1115.0999755859375,0.017770570919338313,-0.1267465436626728,-5.495554014000127
Ireland,2010-01-01,100.0,1073.8699951171875,-0.03697424569226215,-21.03999983968,-0.00922096253034188
Ireland,2010-02-01,-3.156823,1104.489990234375,0.028513689046546054,-1.03156823,0.8550974259888042
Ireland,2010-03-01,-3.058104,1149.989990234375,0.041195484252731784,-0.031271629736605466,0.14169234267077502
Ireland,2010-04-01,-2.053388,,0.0,-0.32854212937166305,-0.40803757861911716
Ireland,2010-05-01,-1.031992,,0.0,-0.49741987388647446,-0.7769140576361699
Ireland,2010-06-01,-0.828157,,0.0,-0.19751606601601557,-0.8462639570689952
Ireland,2010-07-01,-0.104275,,0.0,-0.8740878843021311,-0.982290630329582
Ireland,2010-08-01,0.31185,,0.0,-3.9906497242867416,-1.0522987817578628
Ireland,2010-09-01,0.417101,,0.0,0.3375052108385441,-1.0638724856490156
Ireland,2010-10-01,0.731452,,0.0,0.7536567881640177,-1.1117920625942137
Ireland,2010-11-01,0.522466,1180.550048828125,0.02657419530018834,-0.28571389510179757,-1.0914315454284227
Ireland,2010-12-01,1.365546,1257.6400146484375,0.06530004034715509,1.6136552426377984,-1.2736554162107567
Ireland,2011-01-01,102.557189,1286.1199951171875,0.022645574359139164,74.10343042270271,0.02557188999999993
Ireland,2011-02-01,2.103049,1327.219970703125,0.03195656372809341,-0.979493889989516,-1.6661916109962451
Ireland,2011-03-01,3.049422,1304.280029296875,-0.01728420451215562,0.4500004517250906,-1.997160986022712
Ireland,2011-04-01,3.144654,,0.0,0.031229524808308096,-2.531446565383649
Ireland,2011-05-01,2.606882,,0.0,-0.17101150078832195,-3.5260680315351283
Ireland,2011-06-01,2.713987,,0.0,0.04108548066233908,-4.27714068709194
Ireland,2011-07-01,2.609603,,0.0,-0.0384614959467382,-26.026161591944376
Ireland,2011-08-01,2.072539,,0.0,-0.20580295163670492,5.645948372615039
Ireland,2011-09-01,2.596054,,0.0,0.252595970449772,5.224041658974685
Ireland,2011-10-01,2.80083,,0.0,0.07887971513689607,2.829137113576831
Ireland,2011-11-01,3.014553,1246.9599609375,-0.043947670033923414,0.07630702327524341,4.769854880508971
