ds,geo,metric,value
2014-12-01,Algeria,CPI_Index,5.252718
2014-12-01,Algeria,CPI_Index,123.8494
2015-01-01,Algeria,CPI_Index,126.73665
2015-01-01,Algeria,CPI_Index,4.784448
2015-01-01,Algeria,CPI_Index,4.653006
2015-01-01,Algeria,CPI_Index,123.9888
2015-02-01,Algeria,CPI_Index,5.596695
2015-02-01,Algeria,CPI_Index,124.789
2015-03-01,Algeria,CPI_Index,5.489823
2015-03-01,Algeria,CPI_Index,125.6772
2015-04-01,Algeria,CPI_Index,5.764231
2015-04-01,Algeria,CPI_Index,125.2588
2015-05-01,Algeria,CPI_Index,5.888964
2015-05-01,Algeria,CPI_Index,125.7873
2015-06-01,Algeria,CPI_Index,4.51726
2015-06-01,Algeria,CPI_Index,126.3598
2015-07-01,Algeria,CPI_Index,3.699643
2015-07-01,Algeria,CPI_Index,125.5083
2015-08-01,Algeria,CPI_Index,4.460016
2015-08-01,Algeria,CPI_Index,126.881
2015-09-01,Algeria,CPI_Index,6.10333
2015-09-01,Algeria,CPI_Index,129.7805
2015-10-01,Algeria,CPI_Index,3.594994
2015-10-01,Algeria,CPI_Index,129.2447
2015-11-01,Algeria,CPI_Index,3.419693
2015-11-01,Algeria,CPI_Index,128.3124
2015-12-01,Algeria,CPI_Index,4.362233
2015-12-01,Algeria,CPI_Index,129.252
2016-01-01,Algeria,CPI_Index,134.844867
2016-01-01,Algeria,CPI_Index,6.397689
2016-01-01,Algeria,CPI_Index,5.038197
2016-01-01,Algeria,CPI_Index,130.2356
2016-02-01,Algeria,CPI_Index,4.15293
2016-02-01,Algeria,CPI_Index,129.9714
2016-03-01,Algeria,CPI_Index,5.344247
2016-03-01,Algeria,CPI_Index,132.3937
2016-04-01,Algeria,CPI_Index,6.698292
2016-04-01,Algeria,CPI_Index,133.649
2016-05-01,Algeria,CPI_Index,6.973597
2016-05-01,Algeria,CPI_Index,134.5592
2016-06-01,Algeria,CPI_Index,7.929658
2016-06-01,Algeria,CPI_Index,136.3797
2016-07-01,Algeria,CPI_Index,8.141294
2016-07-01,Algeria,CPI_Index,135.7263
2016-08-01,Algeria,CPI_Index,7.416871
2016-08-01,Algeria,CPI_Index,136.2916
2016-09-01,Algeria,CPI_Index,5.412909
2016-09-01,Algeria,CPI_Index,136.8054
2016-10-01,Algeria,CPI_Index,5.151314
2016-10-01,Algeria,CPI_Index,135.9025
2016-11-01,Algeria,CPI_Index,7.534346
2016-11-01,Algeria,CPI_Index,137.9799
2016-12-01,Algeria,CPI_Index,6.95703
2016-12-01,Algeria,CPI_Index,138.2441
2017-01-01,Algeria,CPI_Index,142.3842
2017-01-01,Algeria,CPI_Index,5.591116
2017-01-01,Algeria,CPI_Index,8.071295
2017-01-01,Algeria,CPI_Index,140.7473
2017-02-01,Algeria,CPI_Index,7.664071
2017-02-01,Algeria,CPI_Index,139.9325
2017-03-01,Algeria,CPI_Index,6.919514
2017-03-01,Algeria,CPI_Index,141.5547
2017-04-01,Algeria,CPI_Index,6.299785
2017-04-01,Algeria,CPI_Index,142.0686
2017-05-01,Algeria,CPI_Index,5.187902
2017-05-01,Algeria,CPI_Index,141.54
2017-06-01,Algeria,CPI_Index,4.079859
2017-06-01,Algeria,CPI_Index,141.9438
2017-07-01,Algeria,CPI_Index,3.093579
2017-07-01,Algeria,CPI_Index,139.9251
2017-08-01,Algeria,CPI_Index,4.502552
2017-08-01,Algeria,CPI_Index,142.4282
2017-09-01,Algeria,CPI_Index,5.242264
2017-09-01,Algeria,CPI_Index,143.9771
2017-10-01,Algeria,CPI_Index,6.503192
2017-10-01,Algeria,CPI_Index,144.7405
2017-11-01,Algeria,CPI_Index,4.862447
